Mask Size 0 Mask set() Leakage 0.4912255474440431
Mask Size 1 Mask {'age'} Leakage 0.48390655849303243
Mask Size 1 Mask {'capital_gain'} Leakage 0.44119241053623615
Mask Size 1 Mask {'capital_loss'} Leakage 0.4912255474440431
Mask Size 1 Mask {'class'} Leakage 0.4421302651304688
Mask Size 1 Mask {'education_num'} Leakage 0.46042813003242167
Mask Size 1 Mask {'hours_per_week'} Leakage 0.4912255474440431
Mask Size 1 Mask {'marital_status'} Leakage 0.4912255474440431
Mask Size 1 Mask {'native_country'} Leakage 0.3969281531160326
Mask Size 1 Mask {'occupation'} Leakage 0.4912255474440431
Mask Size 1 Mask {'race'} Leakage 0.4912255474440431
Mask Size 1 Mask {'relationship'} Leakage 0.3876575545157146
Mask Size 1 Mask {'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'age', 'capital_gain'} Leakage 0.43736415669853557
Mask Size 2 Mask {'age', 'capital_loss'} Leakage 0.4839317246711282
Mask Size 2 Mask {'age', 'class'} Leakage 0.4341050146386227
Mask Size 2 Mask {'age', 'education_num'} Leakage 0.4527523729267935
Mask Size 2 Mask {'age', 'hours_per_week'} Leakage 0.48392620978159184
Mask Size 2 Mask {'age', 'marital_status'} Leakage 0.48447398909222794
Mask Size 2 Mask {'age', 'native_country'} Leakage 0.38825264639230594
Mask Size 2 Mask {'age', 'occupation'} Leakage 0.48390655849303243
Mask Size 2 Mask {'age', 'race'} Leakage 0.483913191052453
Mask Size 2 Mask {'age', 'relationship'} Leakage 0.3854242869319815
Mask Size 2 Mask {'age', 'sex'} Leakage 0.26384839770732416
Mask Size 2 Mask {'capital_loss', 'capital_gain'} Leakage 0.4509615589922883
Mask Size 2 Mask {'capital_gain', 'class'} Leakage 0.4032957695576078
Mask Size 2 Mask {'capital_gain', 'education_num'} Leakage 0.4104707532910399
Mask Size 2 Mask {'hours_per_week', 'capital_gain'} Leakage 0.45227859648556834
Mask Size 2 Mask {'capital_gain', 'marital_status'} Leakage 0.3840032729145847
Mask Size 2 Mask {'capital_gain', 'native_country'} Leakage 0.38607319087108916
Mask Size 2 Mask {'occupation', 'capital_gain'} Leakage 0.44119241053623615
Mask Size 2 Mask {'capital_gain', 'race'} Leakage 0.4419942753939222
Mask Size 2 Mask {'relationship', 'capital_gain'} Leakage 0.12413500321044513
Mask Size 2 Mask {'capital_gain', 'sex'} Leakage 0.23918590959922814
Mask Size 2 Mask {'capital_loss', 'class'} Leakage 0.4424367964455269
Mask Size 2 Mask {'capital_loss', 'education_num'} Leakage 0.46046277809509195
Mask Size 2 Mask {'hours_per_week', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'native_country'} Leakage 0.40027545116798646
Mask Size 2 Mask {'occupation', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'capital_loss'} Leakage 0.38861661219322874
Mask Size 2 Mask {'capital_loss', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'education_num', 'class'} Leakage 0.40850223977961175
Mask Size 2 Mask {'hours_per_week', 'class'} Leakage 0.44223887901283754
Mask Size 2 Mask {'marital_status', 'class'} Leakage 0.44962268479175194
Mask Size 2 Mask {'native_country', 'class'} Leakage 0.3659163513198489
Mask Size 2 Mask {'occupation', 'class'} Leakage 0.4421302651304688
Mask Size 2 Mask {'race', 'class'} Leakage 0.4422648068725308
Mask Size 2 Mask {'relationship', 'class'} Leakage 0.33767484007115856
Mask Size 2 Mask {'sex', 'class'} Leakage 0.20488153303225753
Mask Size 2 Mask {'hours_per_week', 'education_num'} Leakage 0.4604477303905746
Mask Size 2 Mask {'education_num', 'marital_status'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'native_country'} Leakage 0.36047651096201316
Mask Size 2 Mask {'occupation', 'education_num'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'race'} Leakage 0.46053677277980687
Mask Size 2 Mask {'relationship', 'education_num'} Leakage 0.35586534552810667
Mask Size 2 Mask {'education_num', 'sex'} Leakage 0.26298439687777797
Mask Size 2 Mask {'hours_per_week', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'occupation', 'hours_per_week'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'hours_per_week'} Leakage 0.3876575545157146
Mask Size 2 Mask {'hours_per_week', 'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'native_country', 'marital_status'} Leakage 0.3979672789901215
Mask Size 2 Mask {'occupation', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'race', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'marital_status'} Leakage 0.2727656282026826
Mask Size 2 Mask {'sex', 'marital_status'} Leakage 0.293584189251586
Mask Size 2 Mask {'occupation', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'native_country', 'race'} Leakage 0.39759034718430664
Mask Size 2 Mask {'relationship', 'native_country'} Leakage 0.2907061934465176
Mask Size 2 Mask {'sex', 'native_country'} Leakage 0.13622427654319103
Mask Size 2 Mask {'occupation', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'occupation', 'relationship'} Leakage 0.4074419571733059
Mask Size 2 Mask {'occupation', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'relationship', 'race'} Leakage 0.3876575545157146
Mask Size 2 Mask {'sex', 'race'} Leakage 0.2726821726489277
Mask Size 2 Mask {'relationship', 'sex'} Leakage 0.2685467517834049
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'sex', 'hours_per_week', 'class'} Leakage 0.06481769698050688
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'race', 'hours_per_week', 'class'} Leakage 0.10947433095394965
Mask Size 7 Mask {'age', 'occupation', 'capital_gain', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.21945869785414773
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'sex', 'hours_per_week', 'class'} Leakage 0.09297898097040147
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'race', 'sex', 'hours_per_week', 'class'} Leakage 0.1049138376985197
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'race', 'class'} Leakage 0.3510946738746875
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'class'} Leakage 0.0757199921791799
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'sex', 'class'} Leakage 0.07875016434469806
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'native_country', 'race', 'class'} Leakage 0.07593395590500585
Mask Size 7 Mask {'age', 'marital_status', 'capital_gain', 'native_country', 'race', 'sex', 'class'} Leakage 0.0819943151285013
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'native_country', 'sex', 'class'} Leakage 0.061782919057598584
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'race', 'class'} Leakage 0.1033878841205017
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'race', 'sex', 'class'} Leakage 0.10431161525536048
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'sex', 'class'} Leakage 0.08743393623662699
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'race', 'sex', 'class'} Leakage 0.0896905332806961
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'native_country', 'race', 'class'} Leakage 0.0826605003684262
Mask Size 7 Mask {'age', 'occupation', 'capital_gain', 'native_country', 'race', 'sex', 'class'} Leakage 0.12684913834540756
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'native_country', 'sex', 'class'} Leakage 0.06093428617724583
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'race', 'sex', 'class'} Leakage 0.06566539634472868
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'race', 'sex', 'class'} Leakage 0.09084881921940835
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country', 'hours_per_week'} Leakage 0.3162136213142267
Mask Size 7 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'race', 'hours_per_week'} Leakage 0.31958271427109575
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'hours_per_week'} Leakage 0.10915225405808682
Mask Size 7 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'sex', 'hours_per_week'} Leakage 0.1295438322838609
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'race', 'hours_per_week'} Leakage 0.34846166391594013
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'hours_per_week'} Leakage 0.1455299987566131
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'sex', 'hours_per_week'} Leakage 0.14409101710945593
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'education_num', 'race', 'hours_per_week'} Leakage 0.14047893795140032
Mask Size 7 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'race', 'sex', 'hours_per_week'} Leakage 0.16344738649047663
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'education_num', 'sex', 'hours_per_week'} Leakage 0.09334677707940142
Mask Size 7 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'native_country', 'race', 'hours_per_week'} Leakage 0.34903512496964184
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'education_num', 'native_country', 'hours_per_week'} Leakage 0.14776361570749907
Mask Size 7 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'native_country', 'sex', 'hours_per_week'} Leakage 0.15378390829639654
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'native_country', 'race', 'hours_per_week'} Leakage 0.13220701134436164
Mask Size 7 Mask {'age', 'capital_gain', 'education_num', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.13821789928971606
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'native_country', 'sex', 'hours_per_week'} Leakage 0.07490227028054375
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'education_num', 'race', 'hours_per_week'} Leakage 0.1781784961691325
Mask Size 7 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'race', 'sex', 'hours_per_week'} Leakage 0.21971700960201535
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'education_num', 'sex', 'hours_per_week'} Leakage 0.1008951982949019
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'race', 'sex', 'hours_per_week'} Leakage 0.11654692841358127
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country', 'race'} Leakage 0.31674627412783984
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country'} Leakage 0.08917020344458337
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'native_country', 'sex'} Leakage 0.08903684579944615
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'race'} Leakage 0.08334837146341445
Mask Size 7 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'race', 'sex'} Leakage 0.10471144673869037
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'education_num', 'native_country', 'sex'} Leakage 0.03604759314910566
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'race'} Leakage 0.1452171450100287
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'race', 'sex'} Leakage 0.14402406545575097
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'education_num', 'sex'} Leakage 0.0864912153692311
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'education_num', 'race', 'sex'} Leakage 0.09302033036101243
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'education_num', 'native_country', 'race'} Leakage 0.12489887931678023
Mask Size 7 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'native_country', 'race', 'sex'} Leakage 0.14097884149415096
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'education_num', 'native_country', 'sex'} Leakage 0.03638873359511896
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'native_country', 'race', 'sex'} Leakage 0.04816617249116428
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'education_num', 'race', 'sex'} Leakage 0.10063140965819772
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'race', 'hours_per_week'} Leakage 0.3551763552083578
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'hours_per_week'} Leakage 0.09320884617709158
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'sex', 'hours_per_week'} Leakage 0.09646505045691045
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'native_country', 'race', 'hours_per_week'} Leakage 0.09251085659335412
Mask Size 7 Mask {'age', 'marital_status', 'capital_gain', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.10220672243832696
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'native_country', 'sex', 'hours_per_week'} Leakage 0.08293391757126634
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'race', 'hours_per_week'} Leakage 0.14974685034512136
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'race', 'sex', 'hours_per_week'} Leakage 0.15210319355670698
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'sex', 'hours_per_week'} Leakage 0.14098210785848653
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'race', 'sex', 'hours_per_week'} Leakage 0.1400466363067021
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'native_country', 'race', 'hours_per_week'} Leakage 0.09946789741840123
Mask Size 7 Mask {'age', 'occupation', 'capital_gain', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.18446561830739072
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'native_country', 'sex', 'hours_per_week'} Leakage 0.08378580650550427
Mask Size 7 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'race', 'sex', 'hours_per_week'} Leakage 0.08939100973563341
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'race', 'sex', 'hours_per_week'} Leakage 0.14349475275047907
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'race'} Leakage 0.09204338519540134
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'race', 'sex'} Leakage 0.09531681472632947
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'native_country', 'sex'} Leakage 0.0799815344825684
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'native_country', 'race', 'sex'} Leakage 0.08168297184478135
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain', 'race', 'sex'} Leakage 0.1378291806017481
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'native_country', 'race', 'sex'} Leakage 0.08257495407412785
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3335598531045594
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.4128691419616354
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.4129176381715912
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'education_num', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.16242861106734707
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.1946305667963728
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.32328761956013274
Mask Size 7 Mask {'age', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.32097448136822526
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.21769223080157196
Mask Size 7 Mask {'age', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.03885188338214618
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.4028706756939019
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'education_num', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.342483378990567
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.17004018801836007
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3247685821847296
Mask Size 7 Mask {'age', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.15219635120108055
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.15241225326123387
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'capital_loss', 'class'} Leakage 0.3320489759850116
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.32922553549781963
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'capital_loss', 'class'} Leakage 0.034502156631164294
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.07546884826209688
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'class'} Leakage 0.4112710478893772
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'class'} Leakage 0.15298502674144665
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'sex', 'class'} Leakage 0.19399904704058746
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'education_num', 'race', 'capital_loss', 'class'} Leakage 0.15342857747869032
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.18833552207627302
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'education_num', 'capital_loss', 'sex', 'class'} Leakage 0.13568359875794933
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.3188863583489765
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'capital_loss', 'class'} Leakage 0.24553308660264872
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.053297233647591646
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.21293248425302636
Mask Size 7 Mask {'age', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.03681409989316853
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.02815380617046126
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'education_num', 'race', 'capital_loss', 'class'} Leakage 0.3348202470293754
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.1695279327360506
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'education_num', 'capital_loss', 'sex', 'class'} Leakage 0.15235220927310533
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.14614900633432104
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3697243035448
Mask Size 7 Mask {'age', 'marital_status', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3692209052289286
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.0930737199971069
Mask Size 7 Mask {'age', 'marital_status', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.1269712226280355
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.4467077402914651
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.21036089867691288
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.244574252852646
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.21018805379248184
Mask Size 7 Mask {'age', 'marital_status', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.23893479419271169
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.19130066382117683
Mask Size 7 Mask {'age', 'occupation', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.35915253973261896
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.2808508200177654
Mask Size 7 Mask {'age', 'occupation', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.09120076939681188
Mask Size 7 Mask {'age', 'relationship', 'native_country', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.2503483739615453
Mask Size 7 Mask {'age', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.08862239542205785
Mask Size 7 Mask {'age', 'relationship', 'native_country', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.08034911575641046
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.37164696136615183
Mask Size 7 Mask {'age', 'occupation', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.20236373148297926
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.2004791239485355
Mask Size 7 Mask {'age', 'relationship', 'race', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.19917578288288817
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.3674126644520035
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'native_country', 'capital_loss', 'class'} Leakage 0.09269481171618121
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.13485508279352154
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.08890672425202983
Mask Size 7 Mask {'age', 'marital_status', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.1247394358605537
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.07285808126024929
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'race', 'capital_loss', 'class'} Leakage 0.20174969158738532
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.23822783415922522
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_loss', 'sex', 'class'} Leakage 0.1848527188836513
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.1849235304203357
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.27697205417491966
Mask Size 7 Mask {'age', 'occupation', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.09106902937850048
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.08345929824805465
Mask Size 7 Mask {'age', 'relationship', 'native_country', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.07892175739817842
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.194008905864277
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'education_num', 'native_country', 'capital_loss', 'hours_per_week'} Leakage 0.3582845203260414
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.35374344199916585
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'education_num', 'native_country', 'capital_loss', 'hours_per_week'} Leakage 0.16961110312211725
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.18727022014705375
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'education_num', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.45375238905159143
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'hours_per_week'} Leakage 0.28124135720455146
Mask Size 7 Mask {'age', 'marital_status', 'occupation', 'education_num', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.29695670843023114
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'education_num', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.2838122840473457
Mask Size 7 Mask {'age', 'marital_status', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.2901730429553945
Mask Size 7 Mask {'age', 'relationship', 'marital_status', 'education_num', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.21243043098340453
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.35178710309982764
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'education_num', 'native_country', 'capital_loss', 'hours_per_week'} Leakage 0.28988967540511423
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.14591310122556378
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'native_country', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.264454013228956
Mask Size 7 Mask {'age', 'education_num', 'native_country', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.12740350706070824
Mask Size 7 Mask {'age', 'relationship', 'education_num', 'native_country', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.09734020521037379
Mask Size 7 Mask {'age', 'relationship', 'occupation', 'education_num', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.3878057717678899
Mask Size 7 Mask {'age', 'occupation', 'education_num', 'race', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.2753366387688464
